"";"vyrobce";"rozsah";"minimum";"Q1";"prumer";"median";"Q3";"maximum";"rozptyl";"smerodatna_odchylka";"variacni_koeficient";"sikmost";"spicatost"
"1";"A";86;1884,4;1931,825;1949,71744186047;1948,9;1966,1;2030;833,718868673051;28,8741903552818;1,4809423014511;0,301821471226289;0,197403771914853
"2";"B";89;1974,1;1993,5;2000,53033707865;2001;2009,7;2030,9;130,702137385087;11,4325035484397;0,571473640591448;-0,112706344773525;-0,104903479695305
"3";"C";70;1848,4;1887,075;1899,39571428571;1898,9;1911,55;1942,5;409,413459627329;20,2339679654617;1,06528449091878;0,0840219805064702;-0,425052293623225
"4";"D";79;1650,3;1775,9;1797,04430379747;1793,4;1820,15;1872,2;1205,88044790652;34,7257893777308;1,93238359813106;-0,700878631919349;2,74126038285851
